task_id,skill,difficulty,task_type,title,description,expected_behavior
T001,Debugging,Easy,Syntax Bug,Fix Python Syntax Error,Fix a Python program containing a syntax error,Identify the exact syntax issue and make the minimum required change
T002,Debugging,Medium,Logic Bug,Fix Incorrect Total,Debug a program that calculates an incorrect total,Trace the logic and identify where the calculation becomes incorrect
T003,Debugging,Hard,Runtime Bug,Fix Index Error,Fix a program that crashes because of invalid list indexing,Identify the failing condition and handle the boundary correctly
T004,Problem Decomposition,Easy,Single Step,Calculate Average,Write a program to calculate the average of numbers,Break the task into input calculation and output steps
T005,Problem Decomposition,Medium,Multi Step,Student Result System,Create a program that calculates marks total percentage and grade,Separate input validation calculation grading and output into logical steps
T006,Algorithmic Thinking,Easy,Searching,Find Maximum,Find the largest value in a list,Choose an appropriate traversal strategy and compare values systematically
T007,Algorithmic Thinking,Medium,Sorting,Sort Student Marks,Sort a list of student marks in ascending order,Select and implement a suitable sorting approach
T008,Code Quality,Medium,Refactoring,Improve Duplicate Code,Refactor a program containing repeated code,Reduce duplication and improve readability without changing behavior
T009,SQL Reasoning,Easy,Filtering,Filter Students,Write an SQL query to find students with marks above 80,Identify the correct table column and filtering condition
T010,SQL Reasoning,Medium,Aggregation,Department Average,Write an SQL query to calculate average marks for each department,Use grouping and aggregation correctly
T011,Debugging,Easy,Type Error,Fix Type Mismatch,Fix a program that performs an invalid operation between different data types,Identify the incompatible types and correct the operation
T012,Debugging,Medium,Logic Bug,Fix Incorrect Maximum,Debug a program that returns the wrong maximum value,Trace variable updates and correct the comparison logic
T013,Debugging,Hard,Runtime Bug,Fix Missing Key Error,Fix a program that crashes when accessing a missing dictionary key,Identify the unsafe access and handle missing values correctly
T014,Problem Decomposition,Easy,Input Processing,Student Data Input,Create a program that accepts and processes student information,Separate input collection validation processing and output
T015,Problem Decomposition,Medium,Multi Step,Expense Calculator,Build a program that calculates total expenses and remaining budget,Break the problem into data collection calculation validation and reporting
T016,Problem Decomposition,Hard,Multi Step,Inventory Management,Create a small inventory management program,Divide inventory operations into clear independent steps
T017,Algorithmic Thinking,Easy,Counting,Count Frequencies,Count how many times each value occurs in a list,Select an efficient counting strategy and track frequencies systematically
T018,Algorithmic Thinking,Medium,Searching,Binary Search,Implement binary search on a sorted list,Recognize the sorted structure and repeatedly reduce the search space
T019,Algorithmic Thinking,Hard,Optimization,Optimize Nested Loops,Improve a program containing inefficient nested loops,Analyze complexity and replace unnecessary repeated operations
T020,Code Quality,Easy,Naming,Improve Variable Names,Improve unclear variable and function names,Use meaningful names that clearly communicate purpose
T021,Code Quality,Medium,Refactoring,Split Large Function,Refactor a long function into smaller functions,Separate responsibilities while preserving the original behavior
T022,Code Quality,Medium,Duplicate Code,Remove Repetition,Refactor repeated logic across multiple functions,Create reusable logic without changing program output
T023,Code Quality,Hard,Error Handling,Improve Error Handling,Improve a program that handles invalid input poorly,Add clear and appropriate error handling
T024,Code Quality,Hard,Modularity,Improve Program Structure,Reorganize a poorly structured program,Separate responsibilities into logical modules and functions
T025,Code Quality,Medium,Complexity,Reduce Code Complexity,Simplify overly complicated conditional logic,Improve readability and reduce unnecessary complexity
T026,SQL Reasoning,Easy,Sorting,Sort Students,Write an SQL query to sort students by marks,Use ORDER BY correctly with the appropriate column
T027,SQL Reasoning,Medium,Join,Student Department Join,Combine student and department information using SQL,Identify the correct join key and join type
T028,SQL Reasoning,Medium,Aggregation,Highest Department Average,Find the department with the highest average marks,Combine GROUP BY aggregation and ordering correctly
T029,SQL Reasoning,Hard,Subquery,Above Average Students,Find students whose marks are above the overall average,Use a subquery or equivalent reasoning to compare individual values with an aggregate
T030,SQL Reasoning,Hard,Multi Table Analysis,Department Performance Report,Create an SQL report comparing departments using multiple metrics,Combine joins filtering grouping aggregation and ordering appropriately
