student_id,task_id,true_skill_score,time_to_first_attempt,total_attempts,compile_count,error_count,hint_count,repeated_error_count,solution_correctness,test_cases_passed,time_to_solution,code_changes
S001,T001,68.0,33.65,2,3,3,1,1,0.6898,6,335.7,4
S001,T002,68.0,48.19,4,5,5,2,2,0.5662,5,443.88,7
S001,T003,68.0,47.33,6,7,5,3,3,0.4832,4,541.18,11
S001,T004,32.0,66.97,5,6,7,3,6,0.3297,3,635.76,11
S001,T005,32.0,70.73,6,6,9,3,8,0.2398,3,746.78,13
S001,T006,47.0,49.6,4,6,6,3,3,0.4872,5,496.93,9
S001,T007,47.0,59.51,4,6,6,3,4,0.3753,4,641.99,8
S001,T008,43.0,66.47,6,7,7,3,5,0.3669,4,614.37,12
S001,T009,74.0,34.56,3,5,3,1,1,0.7387,7,258.86,6
S001,T010,74.0,35.25,4,5,3,1,2,0.6456,6,409.12,7
S001,T011,68.0,32.9,3,3,3,1,1,0.6961,6,311.63,5
S001,T012,68.0,40.32,4,4,3,2,1,0.5969,6,437.49,6
S001,T013,68.0,50.01,5,6,5,2,3,0.474,4,590.34,9
S001,T014,32.0,67.5,6,6,6,3,5,0.3561,3,598.82,10
S001,T015,32.0,71.84,6,6,8,4,8,0.1955,2,747.07,13
S001,T016,32.0,81.27,8,8,9,4,9,0.131,0,849.69,16
S001,T017,47.0,49.72,5,6,5,3,3,0.4682,6,520.68,8
S001,T018,47.0,63.49,6,7,7,3,6,0.3499,3,639.65,12
S001,T019,47.0,69.35,5,7,6,3,5,0.3092,3,724.71,9
S001,T020,43.0,56.13,5,5,5,3,3,0.4092,5,536.08,9
S001,T021,43.0,69.6,6,7,7,4,6,0.3263,3,658.13,12
S001,T022,43.0,65.42,6,6,5,3,4,0.3627,4,657.0,10
S001,T023,43.0,70.18,6,7,8,4,8,0.2143,2,793.74,12
S001,T024,43.0,79.44,8,10,8,4,7,0.1973,2,816.86,14
S001,T025,43.0,64.74,6,7,6,3,5,0.3315,3,633.69,10
S001,T026,74.0,27.95,3,4,2,1,1,0.7536,7,275.06,4
S001,T027,74.0,43.98,3,4,5,1,3,0.6202,5,410.56,7
S001,T028,74.0,42.04,3,4,4,2,1,0.6498,7,383.95,5
S001,T029,74.0,42.96,4,4,5,2,2,0.5779,6,472.31,7
S001,T030,74.0,41.79,4,4,4,2,2,0.5758,7,510.68,7
